DATE,IIPUSNETIQ
2006-01-01,-1655616
2006-04-01,-1678770
2006-07-01,-2005759
2006-10-01,-1807819
2007-01-01,-1654166
2007-04-01,-1421382
2007-07-01,-1231443
2007-10-01,-1278830
2008-01-01,-1849030
2008-04-01,-1834418
2008-07-01,-3309018
2008-10-01,-3994625
2009-01-01,-3856030
2009-04-01,-3199376
2009-07-01,-2669479
2009-10-01,-2626940
2010-01-01,-2769046
2010-04-01,-3180635
2010-07-01,-2746288
2010-10-01,-2511072
2011-01-01,-2638416
2011-04-01,-2785304
2011-07-01,-4134034
2011-10-01,-4454616
2012-01-01,-4546660
2012-04-01,-5220622
2012-07-01,-4952111
2012-10-01,-4517094
2013-01-01,-5041011
2013-04-01,-5463827
2013-07-01,-4928606
2013-10-01,-5367563
2014-01-01,-5427447
2014-04-01,-5408562
2014-07-01,-6140811
2014-10-01,-6944154
2015-01-01,-6868829
2015-04-01,-6772449
2015-07-01,-7299578
2015-10-01,-7460181
2016-01-01,-7754542
2016-04-01,-8205746
2016-07-01,-7983363
2016-10-01,-8129303
2017-01-01,-7955437
2017-04-01,-7820962
2017-07-01,-7568417
2017-10-01,-7672991
2018-01-01,-7785678
2018-04-01,-8777105
2018-07-01,-9540138
2018-10-01,-9684689
2019-01-01,-10243038
2019-04-01,-10595259
2019-07-01,-11213771
2019-10-01,-11231434
2020-01-01,-12116918
2020-04-01,-12995805
2020-07-01,-13767397
2020-10-01,-14011242
2021-01-01,-14300547
2021-04-01,-15906012
2021-07-01,-16351214
2021-10-01,-18101156
